mod;cod;marca;clase;tipo1;tipo2;tipo3;peso;serv;valor02;valor03;valor04;valor05;valor06;valor07;valor08;valor09;valor10;valor11;valor12;valor13;valor14;valor15;valor16;valor17;valor18;valor19;um;importado;bcpp;pesokg;potencia
F;00101001;ALEKO         ;AUTOMOVIL       ;2141           ;1.6            ;MT 1600CC TAXI ;1;2;       0;       0;       0;       0;       0;       0;       0;       0;       0;       0;       0;       0;       0;       0;       0;       0;       0;   91900;F;T;  114875; 1380; 82
F;00208003;AMERICAN MOTOR;CAMPERO         ;WRANGLER       ;4.2            ;MT 4200CC CAB  ;1;1;       0;       0;       0;       0;       0;       0;       0;       0;       0;       0;       0;       0;       0;       0;       0;       0;       0;   81600;F;T;  102000; 1100;120
F;00208004;AMERICAN MOTOR;CAMPERO         ;WRANGLER       ;4.2            ;MT 2500CC CARPA;1;1;       0;       0;       0;       0;       0;       0;       0;       0;       0;       0;       0;       0;       0;       0;       0;       0;       0;   74900;F;T;   93600; 1100;120
F;00206001;AMERICAN MOTOR;CAMIONETA PASAJ.;EAGLE          ;SUMMIT         ;AT 2400CC LX 4P;1;1;       0;       0;       0;       0;       0;       0;       0;       0;       0;       0;       0;       0;       0;       0;       0;       0;       0;   43800;F;T;   54800;    0;  1
F;00319001;AUTECO        ;MOTOCARRO       ;PICK-UP VAN    ;150            ;MT 150CC       ;1;1;    2300;    2500;       0;       0;       0;       0;       0;       0;       0;       0;       0;       0;       0;       0;       0;       0;       0;    8800;F;T;   11000;  283;  7
F;00319003;AUTECO        ;MOTOCARRO       ;PICK-UP VAN    ;175            ;MT 175CC       ;1;1;       0;    2600;    2800;    3000;    3300;       0;       0;       0;       0;       0;       0;       0;       0;       0;       0;       0;       0;    9400;F;T;   11800;  305;  8
F;00319004;AUTECO        ;MOTOCARRO       ;PICK-UP VAN    ;400            ;MT 400CC DSL   ;1;1;       0;       0;       0;       0;       0;    4900;       0;       0;       0;       0;       0;       0;       0;       0;       0;       0;       0;   11800;F;T;   14800;  353;  7
F;00319005;AUTECO        ;MOTOCARRO       ;CAMELLITO      ;FURGON [ASL]   ;MT 175CC       ;1;1;       0;       0;       0;       0;       0;       0;       0;    6700;    7400;       0;       0;       0;       0;       0;       0;       0;       0;   12300;F;T;   15400;  350;  6
F;00319006;AUTECO        ;MOTOCARRO       ;CAMELLITO      ;FURGON         ;MT 175CC       ;1;1;       0;       0;       0;       0;       0;       0;       0;       0;    6200;       0;       0;       0;       0;       0;       0;       0;       0;   10200;F;T;   12800;  350;  6
F;00319009;AUTECO        ;MOTOCARRO       ;CAMELLITO      ;CHASIS         ;MT 175CC       ;1;1;       0;       0;       0;       0;       0;       0;       0;       0;       0;    4600;       0;       0;       0;       0;       0;       0;       0;    7800;F;T;    9800;  305;  8
